#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_eng+is_latn+ix_xywdatap1448,#item+rem+i_fra+is_latn+ix_xywdatap1448,#item+rem+i_spa+is_latn+ix_xywdatap1448
1,Q152401,Foot and mouth disease,Fièvre aphteuse,Fiebre aftosa
2,Q662016,Swine vesicular disease,Maladie vésiculeuse du porc,Enfermedad vesicular porcina
3,Q29004637,Peste des petits ruminants,Peste des petits ruminants,Peste de pequeños rumiantes
4,Q526340,Lumpy skin disease,Dermatose nodulaire contagieuse,Dermatosis nodular contagiosa
5,Q162262,Bluetongue,Fièvre catarrhale du mouton,Lengua azul
6,Q386408,African horse sickness,Peste équine,Peste equina
7,Q683770,Classical swine fever,Peste porcine classique,Peste porcina clásica
8,Q327082,Newcastle disease,Maladie de Newcastle,Enfermedad de Newcastle
9,Q162762,Vesicular stomatitis,Stomatite vésiculeuse,Estomatitis vesicular
10,Q157008,Rinderpest,Peste bovine,Peste bovina
11,Q574005,Contagious bovine pleuropneumonia,Péripneumonie contagieuse bovine,Perineumonía contagiosa bovina
12,Q326638,Rift Valley fever,Fièvre de la Vallée du Rift,Fiebre del Valle del Rift
13,Q7480670|Q7915925,Sheep pox and goat pox,Clavelée et variole caprine,Viruela ovina y viruela caprina
14,Q195760,African swine fever,Peste porcine africaine,Peste porcina africana
15,Q43987,Highly pathogenic avian influenza,Influenza aviaire hautement pathogène,Influenza aviar altamente patógena
