#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_eng+is_latn+ix_wdatap2308,#item+rem+i_fra+is_latn+ix_wdatap2308,#item+rem+i_spa+is_latn+ix_wdatap2308,#item+rem+i_eng+is_latn+ix_wdatap1448,#item+rem+i_fra+is_latn+ix_wdatap1448,#item+rem+i_spa+is_latn+ix_wdatap1448
1,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Anthrax,Cowdriose,Carbunco bacteridiano
2,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Aujeszky’s disease,Echinococcose/hydatidose,Cowdriosis
3,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Echinococcosis/hydatidosis,Fièvre charbonneuse,Enfermedad de Aujeszky
4,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Heartwater,Fièvre Q,Equinococosis/hidatidosis
5,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Leptospirosis,Leptospirose,Fiebre Q
6,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,New world screwworm (Cochliomyia hominivorax),Maladie d’Aujeszky,Leptospirosis
7,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Old world screwworm (Chrysomya bezziana),Myiase à Chrysomya bezziana,Miasis por Chrysomya bezziana
8,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Paratuberculosis,Myiase à Cochliomyia hominivorax,Miasis por Cochliomyia hominivorax
9,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Q fever,Paratuberculose,Paratuberculosis
10,Q39222,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Rabies,Rage,Rabia
11,,Multiple species diseases,Maladies communes à plusieurs espèces,Enfermedades comunes a varias especies,Trichinellosis,Trichinellose,Triquinelosis
12,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Bovine anaplasmosis,Anaplasmose bovine,Anaplasmosis bovina
13,,Cattle diseases,Maladies des bovins,Enfermedades de los bovinos,Bovine babesiosis,Babésiose bovine,Babesiosis bovina
