topic	url	total_count
animal-health-surveillance	https://github.com/topics/animal-health-surveillance	0
bioinformatics	https://github.com/topics/bioinformatics	6737
disease-mapping	https://github.com/topics/disease-mapping	3
epidemic-simulations	https://github.com/topics/epidemic-simulations	74
epidemiology	https://github.com/topics/epidemiology	567
genomics	https://github.com/topics/genomics	1809
geospatial-analysis	https://github.com/topics/geospatial-analysis	222
infectious-diseases	https://github.com/topics/infectious-diseases	92
public-health-surveillance	https://github.com/topics/public-health-surveillance	1
spatial-analysis	https://github.com/topics/spatial-analysis	459
spatial-epidemiology	https://github.com/topics/spatial-epidemiology	4
syndromic-surveillance	https://github.com/topics/syndromic-surveillance	1
